word,x,y
apiece,-1.9331164,-1.1171423
apologetically,-0.7616821,-2.703165
apologies,1.4456025,-0.49617106
apologize,-1.434321,-3.1088736
apology,-0.5922973,-1.6784064
apothecary,0.618578,-3.8905132
appalled,-0.4203222,-0.25682843
apparate,0.35936412,-0.98746365
apparated,-1.0573689,-0.725926
apparating,-0.06626407,-4.3788047
apparent,3.40559,-2.482601
apparently,0.13710779,0.4210286
apparition,-0.22696365,-1.0072336
appeal,2.6084852,1.724271
appealing,-1.1300125,-0.4804836
appear,0.0910514,-1.1855133
appearance,0.7467079,0.4206536
appeared,-0.76845455,1.7822264
appearing,-1.0447607,0.34984648
appears,2.4880354,-0.9665126
applauded,-1.6455637,-0.35924068
applauding,-2.0874972,-0.72196996
applause,-1.9285091,-0.87486744
apple,2.477703,2.6153243
applied,1.7739629,1.0169
apply,2.1337733,2.163653
appointed,-2.19136,-2.1444845
appointment,0.4930811,-1.4194205
appointments,1.1767408,2.1305773
appraising,2.3788075,2.1540506
appreciate,1.7313164,-0.6384093
appreciated,0.62889093,2.642679
appreciatively,2.144418,-2.3575475
apprehended,1.1760004,-2.135235
apprehension,1.6631223,0.8629646
apprehensive,0.7668065,0.6648843
apprehensively,1.7144403,1.2505518
approach,0.93357205,-0.18202484
approached,-0.49751854,0.80026805
approaching,0.120831534,0.472499
appropriate,2.8906612,-0.04061368
approval,0.82946265,-0.06579636
approve,3.121888,1.6482286
approved,-0.5736538,-3.7076876
approvingly,-1.9079115,-1.5306078
april,-0.66140527,-1.8965614
apron,-3.6737266,1.7113531
aquiver,3.9575567,1.8184348
aragog,-1.9450734,-2.6723151
arc,-1.2234865,2.245124
arch,-1.9812174,1.5005001
archie,1.4104011,1.1123194
archway,-1.7171757,1.8615068
area,1.9887425,-0.45206562
aren,0.15914369,-2.769491
argue,0.38254267,-0.023254795
argued,0.8985854,0.19995409
arguing,-3.098394,-3.1424022
argument,-0.98416424,-0.85984355
arguments,1.9858279,1.4693539
argus,-0.37914804,-0.056440454
ariana,1.0504477,-0.56624377
arithmancy,1.9891195,-2.5561397
arm,-0.486068,1.3625978
armando,2.6919608,0.13176878
armchair,-0.91801447,1.3407444
armchairs,2.1496127,1.9106787
armed,0.4520146,-2.3174405
armful,-1.6799307,2.5715094
armor,-2.7523768,2.5465388
arms,-0.85313195,1.5079694
army,1.6761341,-0.962838
arnold,0.2059882,2.4606776
arrange,-0.019616885,-4.0617037
arranged,1.5359735,0.9855652
arrangements,-1.3196585,-1.4541684
arrest,0.9797899,-1.244183
arrested,0.843635,-1.2128649
arrival,-0.30627778,-0.2954119
arrivals,4.1929355,0.51509625
arrive,2.96316,0.24450193
arrived,-0.5813446,-0.49795043
arriving,-1.4620622,-1.1333469
arrogance,-0.29671898,-0.8622447
arrogant,1.363115,-3.3592443
arrow,-2.068409,2.2276866
arrows,1.2246414,3.4813883
arry,-1.3998262,-1.3542938
art,-2.6766257,-3.2561882
arthur,-1.6513671,-3.1866367
article,-0.11891929,-0.33474186
articles,3.042303,-1.4555626
artifacts,0.64287305,-1.249765
arts,0.79913294,-1.8028464
ascended,-2.0427814,1.540678
ash,3.0258548,3.026316
ashamed,0.8485185,-0.80992097
ashes,-0.9173307,-0.40001833
aside,-0.69759595,0.6536606
ask,0.47564605,-0.5056883
askew,-1.8727915,1.5508237
asking,1.0229865,-1.6345481
asks,1.6629785,-1.7140298
asleep,-0.8125349,0.44389454
assembled,0.31603393,-4.1886125
assent,-0.7141256,0.8999834
assigned,0.08271423,-2.7743566
assist,3.117847,0.47588354
assistance,1.8474283,-0.37931895
assistant,0.54521054,-0.65903807
associated,-3.5421128,-2.4810843
assortment,-0.24814856,3.1851525
assume,3.1466038,-0.8262276
assumed,1.8721243,-0.9219332
assuming,-1.8742273,-2.4409268
assure,1.7851708,-0.25116056
assured,1.8740089,-0.5350399
astonished,-0.47823215,0.6700879
astonishing,0.3152738,-1.4000899
astonishment,-0.22025609,1.1303304
astounded,3.73581,-0.29239568
astronomy,-1.9390765,-0.37263182
ate,-0.5239451,-0.75283754
atmosphere,0.95961124,0.8721649
atrium,-1.2332582,1.8603038
attach,-0.10421616,1.702774
attached,-0.4406976,3.1838102
attack,1.1085539,-0.27948606
attacked,0.16358209,-0.6028355
attacker,-0.5052593,-0.57313555
attacking,-0.49360782,-0.5741338
attacks,-0.16638125,-1.7802367
attempt,0.81959695,-0.45772502
attempted,0.18211783,0.12793559
attempting,-0.8159201,-0.5805272
attempts,2.7820942,-2.0585501
attend,1.1733097,-1.0226305
attended,1.3111749,-1.5496396
attention,0.2511714,-0.26208878
attic,-1.6452744,0.48163748
attitude,1.111662,-0.25319484
attract,0.019551981,-1.3814723
attracted,0.8587113,-2.337815
attracting,2.986905,-1.7481204
attraction,0.808545,-3.7848039
attractive,2.0766845,1.5609097
audible,-0.21854073,0.6230513
audience,2.899652,-0.61790496
august,3.5746489,-1.9542978
aunt,-0.67562205,-0.2579612
auntie,-1.2158775,-3.8280263
aura,1.6691532,1.4849781
auror,2.0533576,-1.1987271
aurors,2.1179302,-2.5462775
author,2.731073,-2.5923905
authority,1.1008973,-1.8222536
autograph,-0.5038582,-0.25593406
automatically,-1.8906535,1.2712247
autumn,-1.2415649,2.2762132
avada,4.706579,2.061732
available,-1.0786998,-3.321606
ave,-0.5988449,-1.1858379
average,-1.0846256,-3.6057076
averted,1.7608634,1.4229583
avery,-2.7998362,-0.12292284
avidly,0.38184702,1.6435775
avoid,-3.4341002,0.38446265
avoided,-0.20060061,0.6277915
avoiding,0.79171604,2.0402381
await,2.8732495,-0.34200364
awaiting,2.274925,-0.45338622
awake,0.39423177,1.0846913
award,-1.443692,-1.4743798
awarded,-1.488097,-1.3615258
aware,0.88631594,0.8749881
awe,2.912842,0.8449214
awed,2.4383297,0.8486924
awestruck,-0.112648465,-0.46676356
awful,4.0649753,0.55673265
awkward,-0.8333416,-3.0469162
awkwardly,-0.42700675,0.40988886
awoke,-1.6729201,-0.37045354
awoken,-2.897089,0.44271305
axe,0.80749476,2.8885705
azkaban,0.34885913,-0.8672961
babble,-3.3806617,0.04753789
baby,0.3607718,0.20440114
backed,-2.2011867,0.78369355
backfired,-4.390837,0.089320764
background,-2.7835407,3.3006096
backing,0.57344335,4.7050676
backs,-0.96455,1.3643929
backseat,-4.2501087,0.79223263
backside,-4.046686,2.1143336
backward,-1.4324677,1.6197438
bacon,-0.80789983,1.3809859
bad,-0.07485087,-0.9539131
bade,1.6279204,1.2679952
badge,-2.4039047,-1.6034782
badger,1.8113416,-0.68278146
badges,1.5374566,0.23986979
badly,-0.04778706,-0.1614243
badtempered,1.6514719,2.2649853
bag,-0.70353836,1.6948215
baggy,2.124811,2.4531944
bagman,-0.5095158,-0.32292002
bags,-0.33480054,-0.8970475
bagshot,3.6175992,0.48695114
balaclava,0.98573744,2.8839846
balance,0.42680162,1.274381
balanced,-1.3516192,1.601516
balancing,-1.8733689,1.8194524
bald,0.43903464,1.4884506
balderdash,-2.582137,-1.4270053
balding,0.57802176,0.53600115
baldly,2.6350534,-0.34349206
ball,-0.47150034,2.827678
balled,0.10170972,2.723545
balloon,-3.0509295,0.017886227
balls,-0.48110232,0.8240512
ban,-1.8396652,-1.4494739
band,-4.6974463,-0.1420901
bandaged,-0.47028887,-4.399183
bandages,2.4954553,3.2909515
bane,1.4174044,0.016817389
bang,-2.7385995,0.7064304
banged,-1.3251778,1.0314766
